id,name,province_id,group_id
1,종로구,1,1
2,중구,1,1
3,용산구,1,1
4,성동구,1,1
5,광진구,1,1
6,동대문구,1,1
7,중랑구,1,1
8,성북구,1,1
9,강북구,1,1
10,도봉구,1,1
11,노원구,1,1
12,은평구,1,1
13,서대문구,1,1
14,마포구,1,1
15,양천구,1,1
16,강서구,1,1
17,구로구,1,1
18,금천구,1,1
19,영등포구,1,1
20,동작구,1,1
21,관악구,1,1
22,서초구,1,1
23,강남구,1,1
24,송파구,1,1
25,강동구,1,1
26,중구,2,2
27,서구,2,2
28,동구,2,2
29,영도구,2,2
30,부산진구,2,2
31,동래구,2,2
32,남구,2,2
33,북구,2,2
34,해운대구,2,2
35,사하구,2,2
36,금정구,2,2
37,강서구,2,2
38,연제구,2,2
39,수영구,2,2
40,사상구,2,2
41,기장군,2,2
42,중구,3,3
43,동구,3,3
44,서구,3,3
45,남구,3,3
46,북구,3,3
47,수성구,3,3
48,달서구,3,3
49,달성군,3,3
50,중구,4,4
51,동구,4,4
52,남구,4,4
53,미추홀구,4,4
54,연수구,4,4
55,남동구,4,4
56,부평구,4,4
57,계양구,4,4
58,서구,4,4
59,강화군,4,4
60,옹진군,4,4
61,동구,5,5
62,서구,5,5
63,남구,5,5
64,북구,5,5
65,광산구,5,5
66,동구,6,6
67,중구,6,6
68,서구,6,6
69,유성구,6,6
70,대덕구,6,6
71,중구,7,7
72,남구,7,7
73,동구,7,7
74,북구,7,7
75,울주군,7,7
76,세종특별자치시,8,8
77,수원시,9,20
78,성남시,9,20
79,고양시,9,20
80,용인시,9,19
81,부천시,9,20
82,안산시,9,20
83,안양시,9,20
84,남양주시,9,20
85,화성시,9,20
86,평택시,9,20
87,의정부시,9,20
88,시흥시,9,20
89,파주시,9,18
90,광명시,9,20
91,김포시,9,18
92,군포시,9,20
93,광주시,9,19
94,이천시,9,19
95,양주시,9,19
96,오산시,9,20
97,구리시,9,18
98,안성시,9,20
99,포천시,9,18
100,의왕시,9,20
101,하남시,9,19
102,여주시,9,19
103,여주군,9,19
104,양평군,9,19
105,동두천시,9,18
106,과천시,9,20
107,가평군,9,18
108,연천군,9,18
109,춘천시,10,22
110,원주시,10,23
111,강릉시,10,26
112,동해시,10,27
113,태백시,10,27
114,속초시,10,25
115,삼척시,10,27
116,홍천군,10,24
117,횡성군,10,24
118,영월군,10,24
119,평창군,10,24
120,정선군,10,27
121,철원군,10,21
122,화천군,10,21
123,양구군,10,21
124,인제군,10,25
125,고성군,10,25
126,양양군,10,25
127,청주시,11,35
128,충주시,11,37
129,제천시,11,38
130,청원군,11,35
131,보은군,11,36
132,옥천군,11,36
133,영동군,11,36
134,진천군,11,34
135,괴산군,11,34
136,음성군,11,34
137,단양군,11,38
138,증평군,11,30
139,천안시,12,30
140,공주시,12,32
141,보령시,12,31
142,아산시,12,30
143,서산시,12,28
144,논산시,12,33
145,계룡시,12,30
146,당진시,12,28
147,당진군,12,28
148,금산군,12,33
149,연기군,12,30
150,부여군,12,32
151,서천군,12,31
152,청양군,12,32
153,홍성군,12,29
154,예산군,12,29
155,태안군,12,28
156,전주시,13,39
157,군산시,13,39
158,익산시,13,39
159,정읍시,13,41
160,남원시,13,42
161,김제시,13,39
162,완주군,13,39
163,진안군,13,40
164,무주군,13,40
165,장수군,13,40
166,임실군,13,42
167,순창군,13,42
168,고창군,13,41
169,부안군,13,41
170,목포시,14,45
171,여수시,14,48
172,순천시,14,48
173,나주시,14,46
174,광양시,14,48
175,담양군,14,44
176,곡성군,14,44
177,구례군,14,44
178,고흥군,14,48
179,보성군,14,48
180,화순군,14,46
181,장흥군,14,47
182,강진군,14,47
183,해남군,14,49
184,영암군,14,47
185,무안군,14,45
186,함평군,14,43
187,영광군,14,43
188,장성군,14,43
189,완도군,14,47
190,진도군,14,49
191,신안군,14,45
192,포항시,15,57
193,경주시,15,57
194,김천시,15,54
195,안동시,15,52
196,구미시,15,54
197,영주시,15,50
198,영천시,15,56
199,상주시,15,50
200,문경시,15,50
201,경산시,15,56
202,군위군,15,54
203,의성군,15,53
204,청송군,15,52
205,영양군,15,51
206,영덕군,15,51
207,청도군,15,56
208,고령군,15,55
209,성주군,15,55
210,칠곡군,15,54
211,예천군,15,50
212,봉화군,15,50
213,울진군,15,51
214,울릉군,15,51
215,창원시,16,61
216,마산시,16,61
217,진주시,16,60
218,진해시,16,61
219,통영시,16,62
220,사천시,16,60
221,김해시,16,61
222,밀양시,16,59
223,거제시,16,62
224,양산시,16,61
225,의령군,16,59
226,함안군,16,61
227,창녕군,16,61
228,고성군,16,62
229,남해군,16,60
230,하동군,16,60
231,산청군,16,58
232,함양군,16,58
233,거창군,16,58
234,합천군,16,59
235,제주시,17,63
236,서귀포시,17,64
